Tratamiento,Glucosa_0,Glucosa_3,Glucosa_6,Glucosa_9,Glucosa_12
Cacao,,9.18,6.34,3.99,
Cacao,15.0,9.19,5.65,3.8,2.77
Cacao,,8.19,4.82,3.54,1.85
Cacao,15.0,9.43,6.38,3.93,2.75
Cacao,15.0,9.8,5.67,3.77,2.74
Mango,15.0,10.14,7.16,5.59,3.7
Mango,15.0,9.84,7.77,4.93,3.03
Mango,15.0,11.39,7.53,5.23,3.79
Mango,15.0,10.28,7.21,4.91,3.03
Mango,15.0,10.45,7.3,5.22,3.43
Caña,15.0,11.26,8.63,5.9,4.71
Caña,15.0,12.1,9.0,6.46,4.91
Caña,15.0,11.97,8.64,,5.42
Caña,15.0,12.74,9.62,7.14,4.62
Caña,15.0,12.14,8.65,6.08,5.37
